SLUG URL,Pillar,Weight,Score,Basis
omn,Readiness,modifier,×1.10,"Budget per soldier: proxy for training, maintenance & technology"
che,Manpower,15%,67.4,"Active, reserve & paramilitary personnel"
che,Ground forces,20%,52.4,"Tanks, armor & artillery weighted by type"
che,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
che,Air power,25%,41.7,Weighted by aircraft type and fleet age
che,Nuclear deterrent,10%,0.0,No declared nuclear capability
che,Defense budget,10%,49.0,"Annual spending, purchasing-power adjusted"
che,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
ecu,Manpower,15%,65.8,"Active, reserve & paramilitary personnel"
ecu,Ground forces,20%,43.0,"Tanks, armor & artillery weighted by type"
ecu,Naval power,20%,34.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ecu,Air power,25%,38.2,Weighted by aircraft type and fleet age
ecu,Nuclear deterrent,10%,0.0,No declared nuclear capability
ecu,Defense budget,10%,41.4,"Annual spending, purchasing-power adjusted"
ecu,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
bhr,Manpower,15%,47.3,"Active, reserve & paramilitary personnel"
bhr,Ground forces,20%,50.1,"Tanks, armor & artillery weighted by type"
bhr,Naval power,20%,29.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bhr,Air power,25%,41.2,Weighted by aircraft type and fleet age
bhr,Nuclear deterrent,10%,0.0,No declared nuclear capability
bhr,Defense budget,10%,36.0,"Annual spending, purchasing-power adjusted"
bhr,Readiness,modifier,×1.10,"Budget per soldier: proxy for training, maintenance & technology"
jor,Manpower,15%,68.8,"Active, reserve & paramilitary personnel"
jor,Ground forces,20%,62.3,"Tanks, armor & artillery weighted by type"
jor,Naval power,20%,14.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
jor,Air power,25%,47.7,Weighted by aircraft type and fleet age
jor,Nuclear deterrent,10%,0.0,No declared nuclear capability
jor,Defense budget,10%,40.3,"Annual spending, purchasing-power adjusted"
jor,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
blr,Manpower,15%,73.4,"Active, reserve & paramilitary personnel"
blr,Ground forces,20%,62.0,"Tanks, armor & artillery weighted by type"
blr,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
blr,Air power,25%,48.7,Weighted by aircraft type and fleet age
blr,Nuclear deterrent,10%,4.3,No declared nuclear capability
blr,Defense budget,10%,44.2,"Annual spending, purchasing-power adjusted"
blr,Readiness,modifier,×0.99,"Budget per soldier: proxy for training, maintenance & technology"
nga,Manpower,15%,70.7,"Active, reserve & paramilitary personnel"
nga,Ground forces,20%,55.0,"Tanks, armor & artillery weighted by type"
nga,Naval power,20%,36.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nga,Air power,25%,39.1,Weighted by aircraft type and fleet age
nga,Nuclear deterrent,10%,0.0,No declared nuclear capability
nga,Defense budget,10%,43.4,"Annual spending, purchasing-power adjusted"
nga,Readiness,modifier,×0.91,"Budget per soldier: proxy for training, maintenance & technology"
bgr,Manpower,15%,57.4,"Active, reserve & paramilitary personnel"
bgr,Ground forces,20%,49.9,"Tanks, armor & artillery weighted by type"
bgr,Naval power,20%,31.3,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bgr,Air power,25%,35.9,Weighted by aircraft type and fleet age
bgr,Nuclear deterrent,10%,0.0,No declared nuclear capability
bgr,Defense budget,10%,40.3,"Annual spending, purchasing-power adjusted"
bgr,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
srb,Manpower,15%,60.4,"Active, reserve & paramilitary personnel"
srb,Ground forces,20%,54.4,"Tanks, armor & artillery weighted by type"
srb,Naval power,20%,14.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
srb,Air power,25%,38.9,Weighted by aircraft type and fleet age
srb,Nuclear deterrent,10%,0.0,No declared nuclear capability
srb,Defense budget,10%,39.8,"Annual spending, purchasing-power adjusted"
srb,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
hrv,Manpower,15%,53.8,"Active, reserve & paramilitary personnel"
hrv,Ground forces,20%,44.7,"Tanks, armor & artillery weighted by type"
hrv,Naval power,20%,30.9,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
hrv,Air power,25%,32.8,Weighted by aircraft type and fleet age
hrv,Nuclear deterrent,10%,0.0,No declared nuclear capability
hrv,Defense budget,10%,38.2,"Annual spending, purchasing-power adjusted"
hrv,Readiness,modifier,×1.08,"Budget per soldier: proxy for training, maintenance & technology"
lka,Manpower,15%,76.1,"Active, reserve & paramilitary personnel"
lka,Ground forces,20%,45.3,"Tanks, armor & artillery weighted by type"
lka,Naval power,20%,48.9,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lka,Air power,25%,34.2,Weighted by aircraft type and fleet age
lka,Nuclear deterrent,10%,0.0,No declared nuclear capability
lka,Defense budget,10%,36.4,"Annual spending, purchasing-power adjusted"
lka,Readiness,modifier,×0.87,"Budget per soldier: proxy for training, maintenance & technology"
tun,Manpower,15%,57.6,"Active, reserve & paramilitary personnel"
tun,Ground forces,20%,53.1,"Tanks, armor & artillery weighted by type"
tun,Naval power,20%,24.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tun,Air power,25%,36.7,Weighted by aircraft type and fleet age
tun,Nuclear deterrent,10%,0.0,No declared nuclear capability
tun,Defense budget,10%,35.3,"Annual spending, purchasing-power adjusted"
tun,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
kaz,Manpower,15%,59.4,"Active, reserve & paramilitary personnel"
kaz,Ground forces,20%,47.1,"Tanks, armor & artillery weighted by type"
kaz,Naval power,20%,7.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
kaz,Air power,25%,45.8,Weighted by aircraft type and fleet age
kaz,Nuclear deterrent,10%,0.0,No declared nuclear capability
kaz,Defense budget,10%,41.1,"Annual spending, purchasing-power adjusted"
kaz,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
uzb,Manpower,15%,60.4,"Active, reserve & paramilitary personnel"
uzb,Ground forces,20%,60.6,"Tanks, armor & artillery weighted by type"
uzb,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
uzb,Air power,25%,47.0,Weighted by aircraft type and fleet age
uzb,Nuclear deterrent,10%,0.0,No declared nuclear capability
uzb,Defense budget,10%,36.2,"Annual spending, purchasing-power adjusted"
uzb,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
ven,Manpower,15%,72.0,"Active, reserve & paramilitary personnel"
ven,Ground forces,20%,50.7,"Tanks, armor & artillery weighted by type"
ven,Naval power,20%,25.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ven,Air power,25%,45.7,Weighted by aircraft type and fleet age
ven,Nuclear deterrent,10%,0.0,No declared nuclear capability
ven,Defense budget,10%,30.8,"Annual spending, purchasing-power adjusted"
ven,Readiness,modifier,×0.87,"Budget per soldier: proxy for training, maintenance & technology"
aut,Manpower,15%,64.4,"Active, reserve & paramilitary personnel"
aut,Ground forces,20%,42.9,"Tanks, armor & artillery weighted by type"
aut,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
aut,Air power,25%,35.3,Weighted by aircraft type and fleet age
aut,Nuclear deterrent,10%,0.0,No declared nuclear capability
aut,Defense budget,10%,47.2,"Annual spending, purchasing-power adjusted"
aut,Readiness,modifier,×1.13,"Budget per soldier: proxy for training, maintenance & technology"
hun,Manpower,15%,57.2,"Active, reserve & paramilitary personnel"
hun,Ground forces,20%,48.3,"Tanks, armor & artillery weighted by type"
hun,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
hun,Air power,25%,36.9,Weighted by aircraft type and fleet age
hun,Nuclear deterrent,10%,0.0,No declared nuclear capability
hun,Defense budget,10%,46.0,"Annual spending, purchasing-power adjusted"
hun,Readiness,modifier,×1.10,"Budget per soldier: proxy for training, maintenance & technology"
cze,Manpower,15%,52.5,"Active, reserve & paramilitary personnel"
cze,Ground forces,20%,42.9,"Tanks, armor & artillery weighted by type"
cze,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cze,Air power,25%,36.3,Weighted by aircraft type and fleet age
cze,Nuclear deterrent,10%,0.0,No declared nuclear capability
cze,Defense budget,10%,49.5,"Annual spending, purchasing-power adjusted"
cze,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
syr,Manpower,15%,70.8,"Active, reserve & paramilitary personnel"
syr,Ground forces,20%,38.7,"Tanks, armor & artillery weighted by type"
syr,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
syr,Air power,25%,54.4,Weighted by aircraft type and fleet age
syr,Nuclear deterrent,10%,0.0,No declared nuclear capability
syr,Defense budget,10%,40.6,"Annual spending, purchasing-power adjusted"
syr,Readiness,modifier,×0.94,"Budget per soldier: proxy for training, maintenance & technology"
ken,Manpower,15%,53.9,"Active, reserve & paramilitary personnel"
ken,Ground forces,20%,47.0,"Tanks, armor & artillery weighted by type"
ken,Naval power,20%,12.6,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ken,Air power,25%,36.1,Weighted by aircraft type and fleet age
ken,Nuclear deterrent,10%,0.0,No declared nuclear capability
ken,Defense budget,10%,35.5,"Annual spending, purchasing-power adjusted"
ken,Readiness,modifier,×1.03,"Budget per soldier: proxy for training, maintenance & technology"
sdn,Manpower,15%,67.8,"Active, reserve & paramilitary personnel"
sdn,Ground forces,20%,68.6,"Tanks, armor & artillery weighted by type"
sdn,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sdn,Air power,25%,46.0,Weighted by aircraft type and fleet age
sdn,Nuclear deterrent,10%,0.0,No declared nuclear capability
sdn,Defense budget,10%,26.1,"Annual spending, purchasing-power adjusted"
sdn,Readiness,modifier,×0.84,"Budget per soldier: proxy for training, maintenance & technology"
eth,Manpower,15%,81.3,"Active, reserve & paramilitary personnel"
eth,Ground forces,20%,67.1,"Tanks, armor & artillery weighted by type"
eth,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
eth,Air power,25%,37.4,Weighted by aircraft type and fleet age
eth,Nuclear deterrent,10%,0.0,No declared nuclear capability
eth,Defense budget,10%,42.0,"Annual spending, purchasing-power adjusted"
eth,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
arm,Manpower,15%,69.7,"Active, reserve & paramilitary personnel"
arm,Ground forces,20%,48.4,"Tanks, armor & artillery weighted by type"
arm,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
arm,Air power,25%,33.8,Weighted by aircraft type and fleet age
arm,Nuclear deterrent,10%,0.0,No declared nuclear capability
arm,Defense budget,10%,36.1,"Annual spending, purchasing-power adjusted"
arm,Readiness,modifier,×0.99,"Budget per soldier: proxy for training, maintenance & technology"
tkm,Manpower,15%,57.3,"Active, reserve & paramilitary personnel"
tkm,Ground forces,20%,63.1,"Tanks, armor & artillery weighted by type"
tkm,Naval power,20%,23.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tkm,Air power,25%,40.5,Weighted by aircraft type and fleet age
tkm,Nuclear deterrent,10%,0.0,No declared nuclear capability
tkm,Defense budget,10%,18.2,"Annual spending, purchasing-power adjusted"
tkm,Readiness,modifier,×0.83,"Budget per soldier: proxy for training, maintenance & technology"
lby,Manpower,15%,55.8,"Active, reserve & paramilitary personnel"
lby,Ground forces,20%,38.4,"Tanks, armor & artillery weighted by type"
lby,Naval power,20%,17.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lby,Air power,25%,29.9,Weighted by aircraft type and fleet age
lby,Nuclear deterrent,10%,0.0,No declared nuclear capability
lby,Defense budget,10%,36.9,"Annual spending, purchasing-power adjusted"
lby,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
svk,Manpower,15%,49.9,"Active, reserve & paramilitary personnel"
svk,Ground forces,20%,43.8,"Tanks, armor & artillery weighted by type"
svk,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
svk,Air power,25%,30.2,Weighted by aircraft type and fleet age
svk,Nuclear deterrent,10%,0.0,No declared nuclear capability
svk,Defense budget,10%,41.7,"Annual spending, purchasing-power adjusted"
svk,Readiness,modifier,×1.11,"Budget per soldier: proxy for training, maintenance & technology"
cub,Manpower,15%,79.4,"Active, reserve & paramilitary personnel"
cub,Ground forces,20%,67.4,"Tanks, armor & artillery weighted by type"
cub,Naval power,20%,26.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cub,Air power,25%,16.3,Weighted by aircraft type and fleet age
cub,Nuclear deterrent,10%,0.0,No declared nuclear capability
cub,Defense budget,10%,19.0,"Annual spending, purchasing-power adjusted"
cub,Readiness,modifier,×0.82,"Budget per soldier: proxy for training, maintenance & technology"
lbn,Manpower,15%,62.3,"Active, reserve & paramilitary personnel"
lbn,Ground forces,20%,47.3,"Tanks, armor & artillery weighted by type"
lbn,Naval power,20%,18.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lbn,Air power,25%,24.1,Weighted by aircraft type and fleet age
lbn,Nuclear deterrent,10%,0.0,No declared nuclear capability
lbn,Defense budget,10%,31.9,"Annual spending, purchasing-power adjusted"
lbn,Readiness,modifier,×0.93,"Budget per soldier: proxy for training, maintenance & technology"
khm,Manpower,15%,69.3,"Active, reserve & paramilitary personnel"
khm,Ground forces,20%,60.3,"Tanks, armor & artillery weighted by type"
khm,Naval power,20%,15.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
khm,Air power,25%,20.5,Weighted by aircraft type and fleet age
khm,Nuclear deterrent,10%,0.0,No declared nuclear capability
khm,Defense budget,10%,30.6,"Annual spending, purchasing-power adjusted"
khm,Readiness,modifier,×0.87,"Budget per soldier: proxy for training, maintenance & technology"
tza,Manpower,15%,62.3,"Active, reserve & paramilitary personnel"
tza,Ground forces,20%,44.0,"Tanks, armor & artillery weighted by type"
tza,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tza,Air power,25%,30.8,Weighted by aircraft type and fleet age
tza,Nuclear deterrent,10%,0.0,No declared nuclear capability
tza,Defense budget,10%,33.5,"Annual spending, purchasing-power adjusted"
tza,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
uga,Manpower,15%,59.7,"Active, reserve & paramilitary personnel"
uga,Ground forces,20%,48.0,"Tanks, armor & artillery weighted by type"
uga,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
uga,Air power,25%,28.4,Weighted by aircraft type and fleet age
uga,Nuclear deterrent,10%,0.0,No declared nuclear capability
uga,Defense budget,10%,35.3,"Annual spending, purchasing-power adjusted"
uga,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
mng,Manpower,15%,63.9,"Active, reserve & paramilitary personnel"
mng,Ground forces,20%,57.8,"Tanks, armor & artillery weighted by type"
mng,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mng,Air power,25%,26.7,Weighted by aircraft type and fleet age
mng,Nuclear deterrent,10%,0.0,No declared nuclear capability
mng,Defense budget,10%,20.6,"Annual spending, purchasing-power adjusted"
mng,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
cyp,Manpower,15%,58.7,"Active, reserve & paramilitary personnel"
cyp,Ground forces,20%,48.7,"Tanks, armor & artillery weighted by type"
cyp,Naval power,20%,9.2,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cyp,Air power,25%,18.1,Weighted by aircraft type and fleet age
cyp,Nuclear deterrent,10%,0.0,No declared nuclear capability
cyp,Defense budget,10%,29.9,"Annual spending, purchasing-power adjusted"
cyp,Readiness,modifier,×1.01,"Budget per soldier: proxy for training, maintenance & technology"
ltu,Manpower,15%,57.6,"Active, reserve & paramilitary personnel"
ltu,Ground forces,20%,45.8,"Tanks, armor & artillery weighted by type"
ltu,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ltu,Air power,25%,14.7,Weighted by aircraft type and fleet age
ltu,Nuclear deterrent,10%,0.0,No declared nuclear capability
ltu,Defense budget,10%,43.2,"Annual spending, purchasing-power adjusted"
ltu,Readiness,modifier,×1.10,"Budget per soldier: proxy for training, maintenance & technology"
geo,Manpower,15%,52.7,"Active, reserve & paramilitary personnel"
geo,Ground forces,20%,47.9,"Tanks, armor & artillery weighted by type"
geo,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
geo,Air power,25%,30.0,Weighted by aircraft type and fleet age
geo,Nuclear deterrent,10%,0.0,No declared nuclear capability
geo,Defense budget,10%,29.2,"Annual spending, purchasing-power adjusted"
geo,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
yem,Manpower,15%,57.7,"Active, reserve & paramilitary personnel"
yem,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
yem,Naval power,20%,17.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
yem,Air power,25%,42.7,Weighted by aircraft type and fleet age
yem,Nuclear deterrent,10%,0.0,No declared nuclear capability
yem,Defense budget,10%,37.6,"Annual spending, purchasing-power adjusted"
yem,Readiness,modifier,×1.01,"Budget per soldier: proxy for training, maintenance & technology"
cod,Manpower,15%,68.6,"Active, reserve & paramilitary personnel"
cod,Ground forces,20%,46.4,"Tanks, armor & artillery weighted by type"
cod,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cod,Air power,25%,27.7,Weighted by aircraft type and fleet age
cod,Nuclear deterrent,10%,0.0,No declared nuclear capability
cod,Defense budget,10%,32.1,"Annual spending, purchasing-power adjusted"
cod,Readiness,modifier,×0.88,"Budget per soldier: proxy for training, maintenance & technology"
tcd,Manpower,15%,57.0,"Active, reserve & paramilitary personnel"
tcd,Ground forces,20%,45.0,"Tanks, armor & artillery weighted by type"
tcd,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tcd,Air power,25%,27.5,Weighted by aircraft type and fleet age
tcd,Nuclear deterrent,10%,0.0,No declared nuclear capability
tcd,Defense budget,10%,29.3,"Annual spending, purchasing-power adjusted"
tcd,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
bol,Manpower,15%,58.8,"Active, reserve & paramilitary personnel"
bol,Ground forces,20%,40.4,"Tanks, armor & artillery weighted by type"
bol,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bol,Air power,25%,28.1,Weighted by aircraft type and fleet age
bol,Nuclear deterrent,10%,0.0,No declared nuclear capability
bol,Defense budget,10%,30.2,"Annual spending, purchasing-power adjusted"
bol,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
ury,Manpower,15%,52.4,"Active, reserve & paramilitary personnel"
ury,Ground forces,20%,35.6,"Tanks, armor & artillery weighted by type"
ury,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ury,Air power,25%,22.0,Weighted by aircraft type and fleet age
ury,Nuclear deterrent,10%,0.0,No declared nuclear capability
ury,Defense budget,10%,37.5,"Annual spending, purchasing-power adjusted"
ury,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
eri,Manpower,15%,76.3,"Active, reserve & paramilitary personnel"
eri,Ground forces,20%,48.3,"Tanks, armor & artillery weighted by type"
eri,Naval power,20%,13.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
eri,Air power,25%,20.0,Weighted by aircraft type and fleet age
eri,Nuclear deterrent,10%,0.0,No declared nuclear capability
eri,Defense budget,10%,21.2,"Annual spending, purchasing-power adjusted"
eri,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
zmb,Manpower,15%,50.5,"Active, reserve & paramilitary personnel"
zmb,Ground forces,20%,36.6,"Tanks, armor & artillery weighted by type"
zmb,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
zmb,Air power,25%,34.2,Weighted by aircraft type and fleet age
zmb,Nuclear deterrent,10%,0.0,No declared nuclear capability
zmb,Defense budget,10%,25.2,"Annual spending, purchasing-power adjusted"
zmb,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
svn,Manpower,15%,44.1,"Active, reserve & paramilitary personnel"
svn,Ground forces,20%,39.0,"Tanks, armor & artillery weighted by type"
svn,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
svn,Air power,25%,18.1,Weighted by aircraft type and fleet age
svn,Nuclear deterrent,10%,0.0,No declared nuclear capability
svn,Defense budget,10%,36.3,"Annual spending, purchasing-power adjusted"
svn,Readiness,modifier,×1.11,"Budget per soldier: proxy for training, maintenance & technology"
mli,Manpower,15%,51.4,"Active, reserve & paramilitary personnel"
mli,Ground forces,20%,26.6,"Tanks, armor & artillery weighted by type"
mli,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mli,Air power,25%,27.1,Weighted by aircraft type and fleet age
mli,Nuclear deterrent,10%,0.0,No declared nuclear capability
mli,Defense budget,10%,34.4,"Annual spending, purchasing-power adjusted"
mli,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
kgz,Manpower,15%,48.7,"Active, reserve & paramilitary personnel"
kgz,Ground forces,20%,53.2,"Tanks, armor & artillery weighted by type"
kgz,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
kgz,Air power,25%,10.9,Weighted by aircraft type and fleet age
kgz,Nuclear deterrent,10%,0.0,No declared nuclear capability
kgz,Defense budget,10%,28.5,"Annual spending, purchasing-power adjusted"
kgz,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
dom,Manpower,15%,61.4,"Active, reserve & paramilitary personnel"
dom,Ground forces,20%,21.6,"Tanks, armor & artillery weighted by type"
dom,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
dom,Air power,25%,31.2,Weighted by aircraft type and fleet age
dom,Nuclear deterrent,10%,0.0,No declared nuclear capability
dom,Defense budget,10%,33.3,"Annual spending, purchasing-power adjusted"
dom,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
ago,Manpower,15%,66.8,"Active, reserve & paramilitary personnel"
ago,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
ago,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ago,Air power,25%,47.6,Weighted by aircraft type and fleet age
ago,Nuclear deterrent,10%,0.0,No declared nuclear capability
ago,Defense budget,10%,33.4,"Annual spending, purchasing-power adjusted"
ago,Readiness,modifier,×0.91,"Budget per soldier: proxy for training, maintenance & technology"
alb,Manpower,15%,45.7,"Active, reserve & paramilitary personnel"
alb,Ground forces,20%,39.0,"Tanks, armor & artillery weighted by type"
alb,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
alb,Air power,25%,17.9,Weighted by aircraft type and fleet age
alb,Nuclear deterrent,10%,0.0,No declared nuclear capability
alb,Defense budget,10%,28.7,"Annual spending, purchasing-power adjusted"
alb,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
nzl,Manpower,15%,46.6,"Active, reserve & paramilitary personnel"
nzl,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
nzl,Naval power,20%,15.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nzl,Air power,25%,23.1,Weighted by aircraft type and fleet age
nzl,Nuclear deterrent,10%,0.0,No declared nuclear capability
nzl,Defense budget,10%,42.5,"Annual spending, purchasing-power adjusted"
nzl,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
moz,Manpower,15%,47.0,"Active, reserve & paramilitary personnel"
moz,Ground forces,20%,35.3,"Tanks, armor & artillery weighted by type"
moz,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
moz,Air power,25%,21.0,Weighted by aircraft type and fleet age
moz,Nuclear deterrent,10%,0.0,No declared nuclear capability
moz,Defense budget,10%,27.5,"Annual spending, purchasing-power adjusted"
moz,Readiness,modifier,×1.01,"Budget per soldier: proxy for training, maintenance & technology"
zwe,Manpower,15%,56.7,"Active, reserve & paramilitary personnel"
zwe,Ground forces,20%,29.7,"Tanks, armor & artillery weighted by type"
zwe,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
zwe,Air power,25%,33.3,Weighted by aircraft type and fleet age
zwe,Nuclear deterrent,10%,0.0,No declared nuclear capability
zwe,Defense budget,10%,20.6,"Annual spending, purchasing-power adjusted"
zwe,Readiness,modifier,×0.87,"Budget per soldier: proxy for training, maintenance & technology"
nam,Manpower,15%,47.4,"Active, reserve & paramilitary personnel"
nam,Ground forces,20%,20.1,"Tanks, armor & artillery weighted by type"
nam,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nam,Air power,25%,31.5,Weighted by aircraft type and fleet age
nam,Nuclear deterrent,10%,0.0,No declared nuclear capability
nam,Defense budget,10%,26.1,"Annual spending, purchasing-power adjusted"
nam,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
tjk,Manpower,15%,52.2,"Active, reserve & paramilitary personnel"
tjk,Ground forces,20%,37.3,"Tanks, armor & artillery weighted by type"
tjk,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tjk,Air power,25%,17.3,Weighted by aircraft type and fleet age
tjk,Nuclear deterrent,10%,0.0,No declared nuclear capability
tjk,Defense budget,10%,23.5,"Annual spending, purchasing-power adjusted"
tjk,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
lao,Manpower,15%,61.2,"Active, reserve & paramilitary personnel"
lao,Ground forces,20%,50.4,"Tanks, armor & artillery weighted by type"
lao,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lao,Air power,25%,25.7,Weighted by aircraft type and fleet age
lao,Nuclear deterrent,10%,0.0,No declared nuclear capability
lao,Defense budget,10%,9.6,"Annual spending, purchasing-power adjusted"
lao,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
gtm,Manpower,15%,60.9,"Active, reserve & paramilitary personnel"
gtm,Ground forces,20%,21.6,"Tanks, armor & artillery weighted by type"
gtm,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gtm,Air power,25%,22.4,Weighted by aircraft type and fleet age
gtm,Nuclear deterrent,10%,0.0,No declared nuclear capability
gtm,Defense budget,10%,27.4,"Annual spending, purchasing-power adjusted"
gtm,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
afg,Manpower,15%,70.8,"Active, reserve & paramilitary personnel"
afg,Ground forces,20%,35.3,"Tanks, armor & artillery weighted by type"
afg,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
afg,Air power,25%,21.0,Weighted by aircraft type and fleet age
afg,Nuclear deterrent,10%,0.0,No declared nuclear capability
afg,Defense budget,10%,24.0,"Annual spending, purchasing-power adjusted"
afg,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
bih,Manpower,15%,50.9,"Active, reserve & paramilitary personnel"
