Naval Base Name,Operated by,Homeported ships,Type,Established
Kalmat Naval BasePlanned,🇵🇰 Pakistan,0,Main operating base,0
Karachi Naval Dockyard,🇵🇰 Pakistan,0,Shipyard & arsenal,1947
Kaspiysk Naval Base,🇷🇺 Russia,Gepard +1,Fleet headquarters,1932
Kiel Naval Base,🇩🇪 Germany,0,Fleet headquarters,0
King Abdulaziz Naval Base,🇸🇦 Saudi Arabia,0,Fleet headquarters,0
King Faisal Naval Base,🇸🇦 Saudi Arabia,0,Fleet headquarters,0
Konarak Naval Base,🇮🇷 Iran,0,Fleet headquarters,0
Kronstadt Naval Base,🇷🇺 Russia,0,Main operating base,1704
La Spezia Naval Base,🇮🇹 Italy,Maestrale +1,Main operating base,1862
Las Palmas Naval Base,🇪🇸 Spain,0,Main operating base,1948
Leningrad Naval Base,🇷🇺 Russia,0,Support & logistics,1919
Longpo Naval Base,🇨🇳 China,Type 094 +1,Submarine base,1955
Lüshun Naval Base,🇨🇳 China,0,Main operating base,1880
Madeira Island Submarine Base,🇧🇷 Brazil,0,Submarine base,2020
Makhachkala Naval Base,🇷🇺 Russia,0,Main operating base,0
Mar del Plata Naval Base,🇦🇷 Argentina,0,Submarine base,1826
Mischief Reef,🇨🇳 China · in 🇵🇭 Philippines,0,Main operating base,2016
Naval Amphibious Base Coronado,🇺🇸 United States,0,Main operating base,1944
Naval Base Coronado,🇺🇸 United States,0,Main operating base,1997
Naval Base Guam,🇺🇸 United States · in 🇬🇺 Guam,Los Angeles +2,Main operating base,1899
Naval Base Kitsap,🇺🇸 United States,0,Submarine base,1942
Naval Base Point Loma,🇺🇸 United States,Los Angeles,Submarine base,1959
Naval Base San Diego,🇺🇸 United States,0,Main operating base,1922
Naval Base Ventura County,🇺🇸 United States,0,Support & logistics,1942
Naval Dockyard Mumbai,🇮🇳 India,0,Fleet headquarters,1735
Naval Dockyard Visakhapatnam,🇮🇳 India,0,Fleet headquarters,1949
Naval Station Everett,🇺🇸 United States,Arleigh Burke,Main operating base,1994
Naval Base Name,Operated by,Homeported ships,Type,Established
Naval Station Great Lakes,🇺🇸 United States,0,Support & logistics,1911
Naval Station Guantanamo Bay,🇺🇸 United States · in 🇨🇺 Cuba,0,Main operating base,1903
Naval Station Mayport,🇺🇸 United States,Arleigh Burke +1,Main operating base,1942
Naval Station Newport,🇺🇸 United States,0,Support & logistics,1883
Naval Station Norfolk,🇺🇸 United States,Los Angeles +1,Main operating base,1917
Naval Station Rota,🇪🇸 Spain • 🇺🇸 United States,Arleigh Burke,Main operating base,1953
Naval Submarine Base Kings Bay,🇺🇸 United States,Columbia +1,Submarine base,1978
Naval Submarine Base New London,🇺🇸 United States,Los Angeles +1,Submarine base,1915
Naval Support Activity Bahrain,🇺🇸 United States · in 🇧🇭 Bahrain,0,Fleet headquarters,1971
Naval Support Activity Charleston,🇺🇸 United States,James Madison +3,Support & logistics,1941
Naval Support Activity Naples,🇺🇸 United States · in 🇮🇹 Italy,0,Fleet headquarters,1951
