SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
a-40-mermaid,https://globalmilitary.net/aircraft/a-40-mermaid/,A-40 Mermaid,8,43.8 m (143.8 ft),41.6 m (136.5 ft),11 m (36.1 ft),200 m² (2152.8 sqft),,"86,000 kg (189,597 lbs)",2 × turbofans Soloviev D-30KPV 117 kN each,,800 km/h (497 mph),"4,100 km (2,548 mi)","9,700 m (31,824 ft)",30.0 m/s (98.4 ft/s),
a5-vigilante,https://globalmilitary.net/aircraft/a5-vigilante/,A-5 Vigilante,"2 (pilot, bombardier/navigator)",23.3 m (76.5 ft),16.2 m (53.0 ft),5.9 m (19.4 ft),65.1 m² (700.7 sqft),"14,870 kg (32,783 lbs)","28,615 kg (63,085 lbs)","2 × turbojets General Electric J79-GE-8 9,786 kgf each",North American HS-1A,2123 km/h (Mach 2.12),"1,804 km (1,121 mi)","15,880 m (52,100 ft)",40.6 m/s (133.2 ft/s),
a-50-mainstay,https://globalmilitary.net/aircraft/a-50-mainstay/,A-50 Mainstay,"15 (5 flight crew, 10 mission operators)",46.6 m (152.9 ft),50.6 m (166.0 ft),14.8 m (48.6 ft),300 m² (3229.2 sqft),"61,000 kg (134,482 lbs)","190,000 kg (418,878 lbs)","4 × Soloviev D-30KP turbofan engines 12,000 kgf each",,900 km/h (559 mph),"7,500 km (4,660 mi)","15,500 m (50,853 ft)",,4 hours
a6-intruder,https://globalmilitary.net/aircraft/a6-intruder/,A-6 Intruder,"2 (pilot, bombardier/navigator)",16.6 m (54.5 ft),16.2 m (53.1 ft),4.8 m (15.6 ft),49.1 m² (528.5 sqft),"11,630 kg (25,640 lbs)","27,500 kg (60,627 lbs)","2 × turbojets Pratt & Whitney J52-P8B 8,436 kgf each",Martin-Baker Mk 7,1040 km/h (Mach 1.04),"5,219 km (3,243 mi)","12,400 m (40,682 ft)",38.7 m/s (127.0 ft/s),
a7-corsair-ii,https://globalmilitary.net/aircraft/a7-corsair-ii/,A-7 Corsair II,1,14.1 m (46.1 ft),11.8 m (38.7 ft),4.9 m (16.1 ft),34.8 m² (374.6 sqft),"8,840 kg (19,489 lbs)","19,050 kg (41,998 lbs)","1 × turbofan Allison TF41-A-2 6,795 kgf each",Escapac IG-2,1123 km/h (Mach 1.12),"2,485 km (1,544 mi)","12,800 m (41,995 ft)",76.2 m/s (250.0 ft/s),
a1-cm-furia,https://globalmilitary.net/aircraft/a1-cm-furia/,A1-CM Furia,,,2 m (6.6 ft),,,,6 kg (13 lbs),1 × electric motor,,130 km/h (81 mph),200 km (124 mi),,,3 hours
aw129,https://globalmilitary.net/aircraft/aw129/,A129 Mangusta,2,12.3 m (40.3 ft),11.9 m (39.0 ft),3.4 m (11.0 ft),"2,530 kg (5,578 lbs)","4,600 kg (10,141 lbs)",2 × turboshafts Rolls-Royce Gem 2-1004D 664 kW each,278 km/h (173 mph),510 km (317 mi),"4,724 m (15,499 ft)",10.2 m/s (33.5 ft/s),,,
a400m-atlas,https://globalmilitary.net/aircraft/a400m-atlas/,A400M Atlas,3–4,45.1 m (148.0 ft),42.4 m (139.1 ft),14.7 m (48.2 ft),"66,500 kg (146,607 lbs)","141,000 kg (310,851 lbs)","4 × turboprops MTU-Rolls-Royce TP400-D6 8,203 kW each",780 km/h (485 mph),"3,300 km (2,051 mi)","12,500 m (41,011 ft)",,221.5 m² (2384.2 sqft),"1,150 m (3,773 ft)",
a900,https://globalmilitary.net/aircraft/a900/,A900,,1.8 m (5.8 ft),2.1 m (6.8 ft),,,25 kg (55 lbs),1 × 100cc two-stroke boxer engine,100 km/h (62 mph),200 km (124 mi),"3,000 m (9,843 ft)",,,,4 hours
ac-130-spectre,https://globalmilitary.net/aircraft/ac-130-spectre/,AC-130,7,29.8 m (97.8 ft),40.4 m (132.5 ft),11.7 m (38.4 ft),"33,063 kg (72,891 lbs)","70,307 kg (155,000 lbs)","4 × turboprops Allison T56-A-15 3,661 kW each",669 km/h (416 mph),"4,800 km (2,983 mi)","9,144 m (30,000 ft)",,162.2 m² (1745.9 sqft),,7 hours
