SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
dh-110-sea-vixen,https://globalmilitary.net/aircraft/dh-110-sea-vixen/,DH.110 Sea Vixen,16.9 m (55.6 ft),15.5 m (51.0 ft),3.3 m (10.8 ft),60.2 m² (648.0 sqft),"12,680 kg (27,955 lbs)","21,205 kg (46,749 lbs)","2 × turbojets Rolls-Royce Avon 208 4,990 kgf each",1127 km/h (Mach 1.13),"1,270 km (789 mi)",,"15,000 m (49,213 ft)",46.0 m/s (150.9 ft/s),"2 (pilot, radar operator)",Martin-Baker Mk 4
dhc-2-beaver,https://globalmilitary.net/aircraft/dhc-2-beaver/,DHC-2 Beaver,9.2 m (30.3 ft),15 m (49.2 ft),2.7 m (9.0 ft),23 m² (247.6 sqft),"1,361 kg (3,000 lbs)",,1 × pistons engine Pratt & Whitney R-985-AN-1 336 kW each,254 km/h (158 mph),732 km (455 mi),5 hours,"5,486 m (17,999 ft)",5.2 m/s (17.1 ft/s),1,
dhc-3-otter,https://globalmilitary.net/aircraft/dhc-3-otter/,DHC-3 Otter,12.8 m (42.0 ft),18 m (59.1 ft),3.8 m (12.6 ft),35 m² (376.7 sqft),"2,010 kg (4,431 lbs)","3,629 kg (8,001 lbs)",1 × radial engine Pratt & Whitney R-1340-S1H1-G Wasp 447 kW each,257 km/h (160 mph),"1,540 km (957 mi)",,"5,730 m (18,799 ft)",4.3 m/s (14.1 ft/s),1,
dhc-4-caribou,https://globalmilitary.net/aircraft/dhc-4-caribou/,DHC-4 Caribou,22.1 m (72.6 ft),29.1 m (95.6 ft),9.7 m (31.8 ft),84.7 m² (911.7 sqft),"8,283 kg (18,261 lbs)","12,927 kg (28,499 lbs)","2 × Pratt & Whitney R-2000-7M2 Twin Wasp 1,080 kW each",346 km/h (215 mph),"2,104 km (1,307 mi)",,"7,600 m (24,934 ft)",6.88 m/s (22.6 ft/s),"3 (2 pilots, loadmaster)",
dhc-5-buffalo,https://globalmilitary.net/aircraft/dhc-5-buffalo/,DHC-5 Buffalo,24 m (78.7 ft),29 m (95.1 ft),8.8 m (28.8 ft),88 m² (947.2 sqft),"11,412 kg (25,159 lbs)","22,317 kg (49,201 lbs)","2 × turboprops General Electric CT64-820-4 2,336 kW each",467 km/h (290 mph),"1,100 km (684 mi)",,"9,449 m (31,001 ft)",11.8 m/s (38.7 ft/s),,
dhc-6-twin-otter,https://globalmilitary.net/aircraft/dhc-6-twin-otter/,DHC-6 Twin Otter,15.8 m (51.9 ft),20 m (65.6 ft),6.0 m (19.6 ft),39 m² (419.8 sqft),"3,175 kg (7,000 lbs)","5,670 kg (12,500 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-27 410 kW each,315 km/h (196 mph),"1,480 km (920 mi)","7,620 m (25,000 ft)",8.1 m/s (26.6 ft/s),,,
dhc-7-dash-7,https://globalmilitary.net/aircraft/dhc-7-dash-7/,DHC-7 Dash 7,23.6 m (77.4 ft),28 m (91.9 ft),8.0 m (26.2 ft),80 m² (861.1 sqft),"12,542 kg (27,650 lbs)","19,958 kg (44,000 lbs)",4 × turboprops Pratt & Whitney Canada PT6A-50 835 kW each,451 km/h (280 mph),"1,280 km (795 mi)","6,401 m (21,001 ft)",5.7 m/s (18.7 ft/s),,,
dhc-8-dash-8,https://globalmilitary.net/aircraft/dhc-8-dash-8/,DHC-8 Dash 8,22 m (72.2 ft),26 m (85.3 ft),7.5 m (24.6 ft),54.4 m² (585.6 sqft),"14,787 kg (32,600 lbs)","15,649 kg (34,500 lbs)","2 × turboprops Pratt & Whitney Canada PW-120A 1,342 kW each",451 km/h (280 mph),"1,600 km (994 mi)","9,144 m (30,000 ft)",,,,
seeker,https://globalmilitary.net/aircraft/seeker/,Denel Seeker,,,,,,,,,250 km (155 mi),"6,100 m (20,013 ft)",,10 hours,,
dhruv,https://globalmilitary.net/aircraft/dhruv/,Dhruv,15.9 m (52.1 ft),13.2 m (43.3 ft),5.0 m (16.3 ft),,"4,445 kg (9,800 lbs)","5,580 kg (12,302 lbs)",2 × turboshafts Turbomeca TM333-2B2 807 kW each,280 km/h (174 mph),630 km (391 mi),"4,400 m (14,436 ft)",10.33 m/s (33.9 ft/s),,2,
da-62,https://globalmilitary.net/aircraft/da-62/,Diamond DA62,9.2 m (30.2 ft),14.6 m (47.7 ft),2.8 m (9.3 ft),17.1 m² (184.1 sqft),"1,590 kg (3,505 lbs)","2,300 kg (5,071 lbs)",2 × turboshafts Austro AE 330 132 kW each,372 km/h (231 mph),"2,380 km (1,479 mi)","6,069 m (19,911 ft)",5.2 m/s (17.1 ft/s),10 hours,,"480 m (1,575 ft)"
dornier-128,https://globalmilitary.net/aircraft/dornier-128/,Do 128,11.4 m (37.4 ft),15.6 m (51.0 ft),3.9 m (12.8 ft),29 m² (312.2 sqft),"2,348 kg (5,176 lbs)","3,842 kg (8,470 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-110 298 kW each,325 km/h (202 mph),"2,950 km (1,833 mi)","9,936 m (32,598 ft)",,,,
dornier-228,https://globalmilitary.net/aircraft/dornier-228/,Do 228,16.6 m (54.3 ft),17.0 m (55.7 ft),4.9 m (15.9 ft),32 m² (344.4 sqft),"3,739 kg (8,243 lbs)","6,400 kg (14,110 lbs)",2 × turboprops Garrett TPE331-5-252D 578 kW each,470 km/h (292 mph),396 km (246 mi),"8,534 m (27,999 ft)",7.5 m/s (24.6 ft/s),,,
dornier-328,https://globalmilitary.net/aircraft/dornier-328/,Do 328,21.1 m (69.3 ft),21.0 m (68.8 ft),7.2 m (23.8 ft),40 m² (430.6 sqft),"8,920 kg (19,665 lbs)","13,990 kg (30,843 lbs)","2 × turboprops Pratt & Whitney Canada PW119B 1,400 kW each",620 km/h (385 mph),"1,852 km (1,151 mi)","9,455 m (31,020 ft)",,,,
dc-3,https://globalmilitary.net/aircraft/dc-3/,Douglas DC-3,22.7 m (74.5 ft),29 m (95.1 ft),5.6 m (18.2 ft),91.7 m² (987.0 sqft),"6,450 kg (14,220 lbs)","13,154 kg (29,000 lbs)",3 × turboprops Pratt & Whitney Canada PT6A-45 875 kW each,413 km/h (257 mph),"2,540 km (1,578 mi)","7,071 m (23,199 ft)",5.8 m/s (19.0 ft/s),,,
e2-hawkeye,https://globalmilitary.net/aircraft/e2-hawkeye/,E-2 Hawkeye,5,17.6 m (57.7 ft),24.6 m (80.6 ft),5.6 m (18.3 ft),65 m² (699.7 sqft),"19,536 kg (43,069 lbs)","57,500 kg (126,766 lbs)","2 × turboprops Rolls-Royce T56-A-427A 3,803 kW each",648 km/h (403 mph),"2,708 km (1,683 mi)",6 hours,"10,577 m (34,701 ft)",13.0 m/s (42.7 ft/s)
e3-sentry-awacs,https://globalmilitary.net/aircraft/e3-sentry-awacs/,E-3 Sentry AWACS,17,46.6 m (153.0 ft),44.4 m (145.8 ft),12.6 m (41.3 ft),283 m² (3046.2 sqft),"83,915 kg (185,001 lbs)","147,417 kg (324,998 lbs)","4 × turbofans Pratt & Whitney TF33-PW-100A 9,752 kgf each",853 km/h (530 mph),"7,400 km (4,598 mi)",8 hours,"10,668 m (35,000 ft)",
e4-noac,https://globalmilitary.net/aircraft/e4-noac/,E-4 NOAC,112,70.5 m (231.3 ft),59.7 m (195.9 ft),19.3 m (63.3 ft),510 m² (5489.6 sqft),"190,000 kg (418,878 lbs)","374,850 kg (826,402 lbs)","4 × turbofans General Electric CF6-50E2 23,814 kgf each",969 km/h (602 mph),"12,600 km (7,829 mi)",12 hours,"13,716 m (45,000 ft)",
e6-mercury,https://globalmilitary.net/aircraft/e6-mercury/,E-6 Mercury TACAMO,22,45.8 m (150.3 ft),45.2 m (148.3 ft),12.9 m (42.3 ft),,"78,378 kg (172,794 lbs)","155,128 kg (341,998 lbs)","4 × turbofans CFM International CFM56-2A-2 11,213 kgf each",966 km/h (600 mph),"12,000 km (7,456 mi)",15 hours,"12,192 m (40,000 ft)",
e7-wedgetail,https://globalmilitary.net/aircraft/e7-wedgetail/,E-7 Wedgetail,"21 (2 flight crew, 19 mission crew)",33.6 m (110.2 ft),35.8 m (117.5 ft),12.5 m (41.0 ft),91 m² (979.5 sqft),"46,606 kg (102,749 lbs)","77,600 kg (171,079 lbs)",2 × CFM International CFM56-7B27A 121 kN each,853 km/h (530 mph),"6,500 km (4,039 mi)",17 hours,"12,500 m (41,011 ft)",
e8-joint-stars,https://globalmilitary.net/aircraft/e8-joint-stars/,E-8 Joint STARS,24–40,46.6 m (152.9 ft),44.4 m (145.7 ft),13.0 m (42.5 ft),283.4 m² (3050.0 sqft),"77,564 kg (170,999 lbs)","152,407 kg (336,000 lbs)","4 × turbofans Pratt & Whitney TF33-102C 8,709 kgf each",853 km/h (530 mph),"6,821 km (4,238 mi)",9 hours,"12,802 m (42,001 ft)",
ea-18g-growler,https://globalmilitary.net/aircraft/ea-18g-growler/,EA-18G Growler,2,18.3 m (60.1 ft),13.6 m (44.7 ft),4.9 m (16.0 ft),46.5 m² (500.5 sqft),"15,011 kg (33,094 lbs)","29,964 kg (66,059 lbs)","2 × General Electric F414-GE-400 9,979 kgf each",1900 km/h (Mach 1.9),"2,346 km (1,458 mi)",,"15,000 m (49,213 ft)",
ea-37b-compass-call,https://globalmilitary.net/aircraft/ea-37b-compass-call/,EA-37B Compass Call,"up to 9 (2 pilots, up to 7 mission crew)",29.4 m (96.4 ft),28.5 m (93.5 ft),7.9 m (25.8 ft),,"21,909 kg (48,301 lbs)","44,452 kg (98,000 lbs)","2 × turbofans Rolls-Royce BR700-710C4-11 6,979 kgf each",870 km/h (541 mph),"7,100 km (4,412 mi)",,"14,000 m (45,932 ft)",
ea-6b-prowler,https://globalmilitary.net/aircraft/ea-6b-prowler/,EA-6B Prowler,"4 (pilot, 3 electronic countermeasures officers)",18.0 m (59.1 ft),16 m (52.5 ft),5.1 m (16.8 ft),49.2 m² (529.8 sqft),"14,134 kg (31,160 lbs)","27,896 kg (61,500 lbs)","2 × turbojets Pratt & Whitney J52-P408A 4,717 kgf each",1048 km/h (Mach 1.05),"3,745 km (2,327 mi)",,"11,460 m (37,598 ft)",65.0 m/s (213.3 ft/s)
ec-130-commando-solo,https://globalmilitary.net/aircraft/ec-130-commando-solo/,EC-130 Commando Solo,,29.7 m (97.4 ft),40.3 m (132.2 ft),11.8 m (38.7 ft),162 m² (1743.8 sqft),"34,274 kg (75,561 lbs)","74,389 kg (163,999 lbs)","4 × turboprops Rolls-Royce AE 2100D3 4,474 kW each",671 km/h (417 mph),"4,300 km (2,672 mi)",,"8,534 m (27,999 ft)",10.7 m/s (35.1 ft/s)
ec-130h-compass-call,https://globalmilitary.net/aircraft/ec-130h-compass-call/,EC-130H Compass Call,"13 (4 flight crew, 9 mission crew)",30.1 m (98.8 ft),40.4 m (132.6 ft),11.7 m (38.3 ft),162.1 m² (1744.8 sqft),"45,813 kg (101,000 lbs)","70,307 kg (155,000 lbs)","4 × turboprops Allison T56-A-15 3,424 kW each",589 km/h (366 mph),"4,250 km (2,641 mi)","7,600 m (24,934 ft)",,,,
ec-135-aria,https://globalmilitary.net/aircraft/ec-135-aria/,EC-135 / EC-18 ARIA,11,43.1 m (141.5 ft),31.6 m (103.8 ft),12.7 m (41.7 ft),223 m² (2400.3 sqft),"44,663 kg (98,465 lbs)","136,304 kg (300,499 lbs)","4 × turbofans Pratt & Whitney TF33-PW-102 8,165 kgf each",927 km/h (576 mph),"8,300 km (5,157 mi)","10,058 m (32,999 ft)",11 hours,,,
tiger,https://globalmilitary.net/aircraft/tiger/,EC665 Tiger,"2 (pilot, WSO)",15.8 m (51.8 ft),4.5 m (14.9 ft),3.8 m (12.5 ft),,"4,200 kg (9,259 lbs)","6,100 kg (13,448 lbs)",2 × turboshafts MTU MTR 390 958 kW each,315 km/h (196 mph),800 km (497 mi),"2,000 m (6,562 ft)",,11.5 m/s (37.7 ft/s),,
ef-111-raven,https://globalmilitary.net/aircraft/ef-111-raven/,EF-111 Raven,"2 (pilot, electronic warfare officer)",23.5 m (77.1 ft),19.2 m (63.0 ft),5 m (16.4 ft),48.8 m² (525.2 sqft),"24,230 kg (53,418 lbs)","39,680 kg (87,479 lbs)","2 × Pratt & Whitney TF30-P-109 8,390 kgf each",2350 km/h (Mach 2.35),"3,220 km (2,001 mi)","17,000 m (55,774 ft)",4 hours,55.9 m/s (183.4 ft/s),,
emb-110,https://globalmilitary.net/aircraft/emb-110/,EMB 110,2,15.1 m (49.5 ft),15.3 m (50.3 ft),4.9 m (16.1 ft),29.1 m² (313.2 sqft),"3,590 kg (7,915 lbs)","5,900 kg (13,007 lbs)",2 × Pratt & Whitney Canada PT6A-34 turboprop engines,459 km/h (285 mph),"1,964 km (1,220 mi)","6,550 m (21,490 ft)",,8.3 m/s (27.2 ft/s),,
emb-120,https://globalmilitary.net/aircraft/emb-120/,EMB 120 Brasilia,,20 m (65.6 ft),19.8 m (64.9 ft),6.4 m (20.8 ft),39.4 m² (424.1 sqft),"7,070 kg (15,587 lbs)","11,500 kg (25,353 lbs)","2 × turboprops Pratt & Whitney Canada PW118 1,342 kW each",608 km/h (378 mph),"1,750 km (1,087 mi)","9,083 m (29,800 ft)",,,"1,420 m (4,659 ft)",
emb-121-xingu,https://globalmilitary.net/aircraft/emb-121-xingu/,EMB 121 Xingu,1–2,12.3 m (40.2 ft),14.1 m (46.1 ft),4.8 m (15.9 ft),27.5 m² (296.0 sqft),"3,710 kg (8,179 lbs)","5,670 kg (12,500 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-135 559 kW each,467 km/h (290 mph),"1,230 km (764 mi)","8,534 m (27,999 ft)",,9.14 m/s (30.0 ft/s),,
emb-312,https://globalmilitary.net/aircraft/emb-312/,EMB 312 Tucano,,9.9 m (32.3 ft),11.1 m (36.5 ft),3.4 m (11.2 ft),19.4 m² (208.8 sqft),"1,870 kg (4,123 lbs)","3,175 kg (7,000 lbs)",1 × turboprop Pratt & Whitney Canada PT6A-25C 559 kW each,448 km/h (278 mph),"1,916 km (1,191 mi)","9,145 m (30,003 ft)",,11.33 m/s (37.2 ft/s),"374 m (1,227 ft)",Martin-Baker Mk 8A
emb-314-super-tucano,https://globalmilitary.net/aircraft/emb-314-super-tucano/,EMB-314 Super Tucano,"2 (pilot, navigator/student)",11.4 m (37.3 ft),11.1 m (36.5 ft),4.0 m (13.0 ft),19.4 m² (208.8 sqft),"3,200 kg (7,055 lbs)","5,400 kg (11,905 lbs)","1 × Pratt & Whitney Canada PT6A-68C 1,196 kW each",590 km/h (367 mph),"2,855 km (1,774 mi)","10,668 m (35,000 ft)",8 hours,16.4 m/s (53.8 ft/s),,
luna,https://globalmilitary.net/aircraft/luna/,EMT Luna,,2.4 m (7.7 ft),4.2 m (13.7 ft),,,,40 kg (88 lbs),1 × two cylinder two stroke engine,70 km/h (43 mph),65 km (40 mi),"3,500 m (11,483 ft)",6 hours,,,
erj-135,https://globalmilitary.net/aircraft/erj-135/,ERJ 135,26.3 m (86.4 ft),20.0 m (65.7 ft),6.8 m (22.2 ft),"11,501 kg (25,355 lbs)","19,000 kg (41,888 lbs)","2 × turbofans Rolls-Royce AE 3007A-1 3,538 kgf each",828 km/h (514 mph),"3,240 km (2,013 mi)","11,278 m (37,001 ft)","1,640 m (5,381 ft)",,,,,
eitan,https://globalmilitary.net/aircraft/eitan/,Eitan (Heron TP),14 m (45.9 ft),26 m (85.3 ft),,"4,650 kg (10,251 lbs)","5,670 kg (12,500 lbs)",1 × Pratt & Whitney PT6A turboprop engine,407 km/h (253 mph),"7,400 km (4,598 mi)","12,500 m (41,011 ft)",,30 hours,,,,
skylark,https://globalmilitary.net/aircraft/skylark/,Elbit Skylark,2.2 m (7.2 ft),2.4 m (7.9 ft),,,5 kg (11 lbs),,74 km/h (46 mph),40 km (25 mi),"4,900 m (16,076 ft)",,2 hours,,,,
eleron-3,https://globalmilitary.net/aircraft/eleron-3/,Eleron-3,0.6 m (2.0 ft),1.5 m (4.8 ft),,,5 kg (11 lbs),1 × electric motor,130 km/h (81 mph),60 km (37 mi),"4,000 m (13,123 ft)",,1 hours,,,,
lightning,https://globalmilitary.net/aircraft/lightning/,English Electric Lightning,16.8 m (55.1 ft),10.6 m (34.8 ft),6.0 m (19.6 ft),"14,092 kg (31,068 lbs)","20,752 kg (45,750 lbs)","2 × turbojets Rolls-Royce Avon 301R 7,421 kgf each",2414 km/h (Mach 2.41),"1,482 km (921 mi)","16,459 m (53,999 ft)",,,1,44.1 m² (474.5 sqft),Martin-Baker Mk 4,100.0 m/s (328.1 ft/s)
enstrom-480,https://globalmilitary.net/aircraft/enstrom-480/,Enstrom 480,8.9 m (29.1 ft),9.8 m (32.0 ft),3.0 m (9.7 ft),"760 kg (1,676 lbs)","1,293 kg (2,851 lbs)",1 × turboprop Allison 250-C20W 213 kW each,211 km/h (131 mph),700 km (435 mi),"3,962 m (12,999 ft)",,,,,,7.62 m/s (25.0 ft/s)
enstrom-f-28,https://globalmilitary.net/aircraft/enstrom-f-28/,Enstrom F-28,8.9 m (29.3 ft),9.8 m (32.0 ft),2.7 m (9.0 ft),"712 kg (1,570 lbs)","1,179 kg (2,599 lbs)",1 × pistons engine Lycoming HIO-360-F1AD 168 kW each,180 km/h (112 mph),446 km (277 mi),"3,658 m (12,001 ft)",,,1,,,7.37 m/s (24.2 ft/s)
eurodrone,https://globalmilitary.net/aircraft/eurodrone/,Eurodrone,16 m (52.5 ft),26 m (85.3 ft),6 m (19.7 ft),"11,000 kg (24,251 lbs)","13,000 kg (28,660 lbs)",2 × General Electric Catalyst turboprop,500 km/h (311 mph),,"12,000 m (39,370 ft)",,40 hours,,,,
f100-super-sabre,https://globalmilitary.net/aircraft/f100-super-sabre/,F-100 Super Sabre,15.2 m (49.9 ft),11.8 m (38.7 ft),5.0 m (16.2 ft),"9,500 kg (20,944 lbs)","15,800 kg (34,833 lbs)","1 × turbojet Pratt & Whitney J57-P-21 7,257 kgf each",1390 km/h (Mach 1.39),"3,211 km (1,995 mi)","15,240 m (50,000 ft)",,,1,37 m² (398.3 sqft),North American WA-1,114.0 m/s (374.0 ft/s)
f101-voodoo,https://globalmilitary.net/aircraft/f101-voodoo/,F-101 Voodoo,20.6 m (67.4 ft),12.1 m (39.7 ft),5.5 m (18.0 ft),"12,925 kg (28,495 lbs)","23,770 kg (52,404 lbs)","2 × turbojets Pratt & Whitney J57-P-55 7,666 kgf each",1825 km/h (Mach 1.82),"2,450 km (1,522 mi)","17,800 m (58,399 ft)",,,"2 (pilot, radar operator)",34.2 m² (368.1 sqft),Weber F-101,250.0 m/s (820.2 ft/s)
f102-delta-dagger,https://globalmilitary.net/aircraft/f102-delta-dagger/,F-102 Delta Dagger,1,20.8 m (68.3 ft),11.6 m (38.1 ft),6.5 m (21.2 ft),61.5 m² (662.2 sqft),"8,777 kg (19,350 lbs)","14,288 kg (31,500 lbs)","1 × turbojet Pratt & Whitney J57-P-25 7,711 kgf each",Weber We-Convair,1328 km/h (Mach 1.33),"2,170 km (1,348 mi)","16,276 m (53,399 ft)",66.0 m/s (216.5 ft/s)
f104-starfighter,https://globalmilitary.net/aircraft/f104-starfighter/,F-104 Starfighter,1,16.7 m (54.7 ft),6.4 m (20.9 ft),4.1 m (13.4 ft),18.2 m² (196.1 sqft),"6,350 kg (13,999 lbs)","13,170 kg (29,035 lbs)","1 × turbojet General Electric J79-GE-11A 7,076 kgf each",Martin-Baker Mk 7,2500 km/h (Mach 2.5),"2,623 km (1,630 mi)","15,240 m (50,000 ft)",244.0 m/s (800.5 ft/s)
f105-thunderchief,https://globalmilitary.net/aircraft/f105-thunderchief/,F-105 Thunderchief,1,19.6 m (64.4 ft),10.7 m (34.9 ft),6.0 m (19.7 ft),35.8 m² (384.9 sqft),"12,470 kg (27,492 lbs)","23,834 kg (52,545 lbs)","1 × turbojet Pratt & Whitney J75-P-19W 12,020 kgf each",Republic F-105,2208 km/h (Mach 2.21),"3,550 km (2,206 mi)","14,783 m (48,501 ft)",195.0 m/s (639.8 ft/s)
f106-delta-dart,https://globalmilitary.net/aircraft/f106-delta-dart/,F-106 Delta Dart,1,21.6 m (70.7 ft),11.7 m (38.3 ft),6.2 m (20.3 ft),61.5 m² (661.5 sqft),"11,077 kg (24,421 lbs)","15,653 kg (34,509 lbs)",1 × Pratt & Whitney J75-P-17 109 kN each,,2454 km/h (Mach 2.45),"4,345 km (2,700 mi)","17,000 m (55,774 ft)",150.0 m/s (492.1 ft/s)
f111-aardvark,https://globalmilitary.net/aircraft/f111-aardvark/,F-111 Aardvark,"2 (pilot, WSO)",22.4 m (73.5 ft),19.2 m (63.0 ft),5 m (16.4 ft),61.1 m² (657.4 sqft),"21,400 kg (47,179 lbs)","45,359 kg (99,999 lbs)","2 × turbofans Pratt & Whitney TF30-P-100 11,385 kgf each",Escape capsule,2655 km/h (Mach 2.65),"5,940 km (3,691 mi)","20,117 m (66,001 ft)",131.5 m/s (431.4 ft/s)
f117-nighthawk,https://globalmilitary.net/aircraft/f117-nighthawk/,F-117 Nighthawk,1,20.1 m (65.9 ft),13.2 m (43.3 ft),3.8 m (12.4 ft),73 m² (785.8 sqft),"13,380 kg (29,498 lbs)","25,000 kg (55,115 lbs)","2 × turbofans General Electric F404-F1D2 4,781 kgf each",McDonnell Douglas ACES II,993 km/h (617 mph),"1,720 km (1,069 mi)","21,031 m (68,999 ft)",
f14-tomcat,https://globalmilitary.net/aircraft/f14-tomcat/,F-14 Tomcat,"2 (pilot, radar intercept officer)",19.1 m (62.7 ft),19.6 m (64.1 ft),4.9 m (16.0 ft),52.5 m² (565.0 sqft),"18,191 kg (40,104 lbs)","33,724 kg (74,349 lbs)","2 × turbofans Pratt & Whitney TF30-P-412A 12,224 kgf each",Martin-Baker GRU-7A,2485 km/h (Mach 2.48),"3,000 km (1,864 mi)","17,069 m (56,001 ft)",152.0 m/s (498.7 ft/s)
f15-eagle,https://globalmilitary.net/aircraft/f15-eagle/,F-15 Eagle,1,19.4 m (63.7 ft),13.1 m (42.8 ft),5.6 m (18.5 ft),56.5 m² (608.2 sqft),"12,701 kg (28,001 lbs)","30,844 kg (67,999 lbs)","2 × turbofans Pratt & Whitney F100-PW-220 10,782 kgf each",McDonnell Douglas ACES II,2655 km/h (Mach 2.65),"3,971 km (2,467 mi)","19,812 m (65,000 ft)",254.0 m/s (833.3 ft/s)
f15e-strike-eagle,https://globalmilitary.net/aircraft/f15e-strike-eagle/,F-15E Strike Eagle,"2 (pilot, WSO)",19.4 m (63.7 ft),13.1 m (42.8 ft),5.6 m (18.5 ft),56 m² (602.8 sqft),"14,379 kg (31,700 lbs)","36,741 kg (81,000 lbs)","2 × turbofans Pratt & Whitney F100-PW-229 13,200 kgf each",McDonnell Douglas ACES II,2655 km/h (Mach 2.65),"3,889 km (2,417 mi)","18,288 m (60,000 ft)",254.0 m/s (833.3 ft/s)
f15ex-eagle-ii,https://globalmilitary.net/aircraft/f15ex-eagle-ii/,F-15EX Eagle II,"1–2 (pilot, WSO)",19.4 m (63.7 ft),13.1 m (42.8 ft),5.7 m (18.7 ft),56.5 m² (608.2 sqft),"16,103 kg (35,501 lbs)","36,741 kg (81,000 lbs)",2 × General Electric F110-GE-129 129 kN each,McDonnell Douglas ACES II,2655 km/h (Mach 2.65),"3,889 km (2,417 mi)","18,000 m (59,055 ft)",250.0 m/s (820.2 ft/s)
f15i-raam,https://globalmilitary.net/aircraft/f15i-raam/,F-15I Ra'am,"2 (pilot, WSO)",19.4 m (63.7 ft),13.1 m (42.8 ft),5.6 m (18.5 ft),56.5 m² (608.2 sqft),"14,379 kg (31,700 lbs)","36,741 kg (81,000 lbs)","2 × turbofans Pratt & Whitney F100-PW-229 13,200 kgf each",McDonnell Douglas ACES II,2655 km/h (Mach 2.65),"4,450 km (2,765 mi)","18,288 m (60,000 ft)",254.0 m/s (833.3 ft/s),
f16-fighting-falcon,https://globalmilitary.net/aircraft/f16-fighting-falcon/,F-16 Fighting Falcon,1,15.1 m (49.4 ft),10.0 m (32.7 ft),4.9 m (16.0 ft),27.9 m² (300.0 sqft),"8,570 kg (18,894 lbs)","19,200 kg (42,329 lbs)","1 × turbofan General Electric F110-GE-100 12,701 kgf each",McDonnell Douglas ACES II,2178 km/h (Mach 2.18),"4,217 km (2,620 mi)","15,240 m (50,000 ft)",254.0 m/s (833.3 ft/s),
f16i-sufa,https://globalmilitary.net/aircraft/f16i-sufa/,F-16I Sufa,"2 (pilot, navigator)",15.1 m (49.4 ft),10.0 m (32.7 ft),4.9 m (16.0 ft),27.9 m² (300.0 sqft),,"23,582 kg (51,989 lbs)","1 × turbofan Pratt & Whitney F100-PW-229 13,227 kgf each",,2178 km/h (Mach 2.18),"4,220 km (2,622 mi)","15,240 m (50,000 ft)",,
f16v-viper,https://globalmilitary.net/aircraft/f16v-viper/,F-16V Viper,1,15.1 m (49.4 ft),10.0 m (32.7 ft),5.1 m (16.7 ft),27.9 m² (300.0 sqft),"9,207 kg (20,298 lbs)","21,772 kg (47,999 lbs)","1 × turbofan General Electric F110-GE-129 13,381 kgf each",Martin-Baker US18E,2414 km/h (Mach 2.41),"4,220 km (2,622 mi)","15,240 m (50,000 ft)",254.0 m/s (833.3 ft/s),
f22-raptor,https://globalmilitary.net/aircraft/f22-raptor/,F-22 Raptor,1,18.9 m (62.0 ft),13.6 m (44.5 ft),5.1 m (16.7 ft),78.0 m² (840.0 sqft),"19,700 kg (43,431 lbs)","38,000 kg (83,776 lbs)","2 × turbofans Pratt & Whitney F119-PW-100 15,876 kgf each",McDonnell Douglas ACES II,2414 km/h (Mach 2.41),"3,000 km (1,864 mi)","19,812 m (65,000 ft)",,
f35-lightning-ii,https://globalmilitary.net/aircraft/f35-lightning-ii/,F-35 Lightning II,1,15.6 m (51.2 ft),11 m (36.1 ft),4.4 m (14.3 ft),43 m² (462.8 sqft),"14,651 kg (32,300 lbs)","27,216 kg (60,001 lbs)","1 × turbofan Pratt & Whitney F-135-PW-600 19,500 kgf each",Martin-Baker US16E,1960 km/h (Mach 1.96),"2,800 km (1,740 mi)","15,000 m (49,213 ft)",,
f4-phantom-ii,https://globalmilitary.net/aircraft/f4-phantom-ii/,F-4 Phantom II,"2 (pilot, WSO or RIO)",19 m (62.3 ft),11.7 m (38.4 ft),5 m (16.4 ft),49.2 m² (529.6 sqft),"13,757 kg (30,329 lbs)","28,030 kg (61,795 lbs)","2 × turbojets General Electric J79-GE-17A 8,094 kgf each",Martin-Baker Mk 7,2370 km/h (Mach 2.37),"2,699 km (1,677 mi)","18,288 m (60,000 ft)",210.0 m/s (689.0 ft/s),"1,370 m (4,495 ft)"
f47,https://globalmilitary.net/aircraft/f47/,F-47,,,,,,,,,,2124 km/h (Mach 2.12),"1,900 km (1,181 mi)",,,
f5-freedom-fighter,https://globalmilitary.net/aircraft/f5-freedom-fighter/,F-5 Freedom Fighter,1,14.5 m (47.4 ft),8.1 m (26.7 ft),4.1 m (13.4 ft),17.3 m² (186.0 sqft),"4,349 kg (9,588 lbs)","11,187 kg (24,663 lbs)","2 × turbojets General Electric J85-GE-21B 3,176 kgf each",Northrop M-38,1700 km/h (Mach 1.7),"2,806 km (1,744 mi)","15,789 m (51,801 ft)",175.0 m/s (574.1 ft/s),
