#,Country,ARMS Index (Armour and Manpower Rating of Strength),Total,Tanks,IFVs,APCs,Artillery
4,🇮🇳Indian Army,59.1,·,22%,×1.07,×1.20,×1.09
5,🇰🇷South Korean Army,58.9,·,12%,×1.15,×1.20,×1.02
6,🇺🇦Ukrainian Army,46.9,·,29%,×1.09,×1.20,×1.09
7,🇹🇷Turkish Army,45.3,·,18%,×1.15,×1.20,×1.04
8,🇵🇰Pakistani Army,43.4,·,25%,×1.15,×1.20,×0.99
9,🇪🇬Egyptian Army,40.4,·,22%,×1.15,×1.20,×0.92
10,🇰🇵North Korean Army,37.0,·,44%,×1.04,×1.20,×0.90
11,🇮🇷Iranian Army,36.5,·,35%,×1.07,×1.20,×1.00
12,🇸🇦Saudi Arabian Army,36.0,·,25%,×1.15,×1.20,×1.10
13,🇵🇱Polish Army,36.0,·,16%,×1.09,×1.20,×1.07
14,🇩🇿Algerian Army,35.0,·,18%,×1.15,×1.20,×1.05
15,🇫🇷French Army,34.3,·,28%,×1.15,×1.13,×1.09
16,🇮🇶Iraqi Army,32.9,·,23%,×1.11,×1.13,×0.97
17,🇮🇱Israeli Army,32.7,·,24%,×1.15,×1.20,×1.05
18,🇬🇷Greek Army,32.0,·,22%,×1.15,×1.20,×0.99
19,🇲🇲Myanmar/ Burma Army,31.5,·,25%,×1.03,×1.13,×0.96
20,🇹🇼Taiwanese Army,31.2,·,26%,×1.15,×1.20,×1.03
21,🇩🇪German Army,30.8,·,29%,×1.15,×1.13,×1.10
22,🇻🇳Vietnamese Army,30.7,·,43%,×1.00,×1.13,×1.02
23,🇦🇿Azerbaijani Army,30.3,·,16%,×1.15,×1.20,×0.97
24,🇯🇵Japanese Army,30.2,·,35%,×1.15,×1.13,×1.10
25,🇲🇦Moroccan Army,29.6,·,29%,×1.04,×1.20,×0.99
26,🇬🇧British Army,29.0,·,29%,×1.15,×1.13,×1.10
27,🇦🇪Emirati Army,28.2,·,19%,×1.15,×1.20,×1.04
28,🇹🇭Thai Army,26.3,·,51%,×1.06,×1.13,×1.00
29,🇪🇸Spanish Army,25.8,·,33%,×1.15,×1.13,×1.08
30,🇸🇩Sudanese Army,25.5,·,26%,×1.15,×1.13,×0.90
