#,Country,AIRS Index (Air Inventory Rating of Strength),All aircraft,Δ YoY,Combat
101,🇬🇹 Guatemalan Air Force,2.8,37,+1,3
102,🇨🇲 Cameroonian Air Force,2.7,35,0,6
103,🇲🇱 Mali Air Force,2.6,43,0,12
104,🇯🇲 Jamaica Defence Force,2.6,17,-1,0
105,🇬🇶 Equatorial Guinea Air Force,2.5,27,+7,4
106,🇳🇪 Nigerien Air Force,2.5,25,+1,2
107,🇸🇳 Senegalese Air Force,2.5,40,0,0
108,🇧🇫 Burkina Faso Air Force,2.5,26,+1,3
109,🇸🇮 Slovenian Air Force and Air Defence,2.5,39,0,0
110,🇰🇭 Royal Cambodian Air Force,2.4,25,0,0
111,🇳🇵 Nepalese Army Air Service,2.3,22,+7,0
112,🇦🇫 Afghan Air Force,2.3,34,+5,1
113,🇲🇷 Mauritania Islamic Air Force,2.3,23,-1,4
114,🇬🇦 Gabonese Air Force,2.3,25,+1,6
115,🇳🇦 Namibian Air Force,2.2,34,0,22
116,🇪🇷 Eritrean Air Force,2.1,20,+1,2
117,🇨🇾 Air Command of Cyprus,2.1,13,+6,0
118,🇱🇧 Lebanese Air Force,2.1,64,-2,5
119,🇬🇭 Ghanaian Air Force,2.1,20,+1,4
120,🇩🇯 Djibouti Air Force,2.1,17,0,0
121,🇱🇦 Lao People's Liberation Army Air Force,2.1,32,-1,4
122,🇨🇮 Ivorian Air Force,2.1,17,-2,0
123,🇧🇳 Royal Brunei Air Force,2.0,26,0,0
124,🇬🇾 Guyana Defence Force Air Command,2.0,11,+7,0
125,🇱🇹 Lithuanian Air Force,1.9,11,+2,0
126,🇸🇸 South Sudan Air Force,1.8,20,0,0
127,🇲🇿 Mozambique Air Force,1.8,21,0,8
128,🇹🇹 Trinidad and Tobago Defence Force Air Guard,1.6,6,+4,0
129,🇲🇹 Air Wing of the Armed Forces of Malta,1.6,7,-2,0
130,🇨🇺 Cuban Revolutionary Air Force,1.6,20,-11,0
131,🇱🇸 Lesotho Defence Force – Air Squadron,1.6,9,0,0
132,🇨🇬 Air Force of the Republic of Congo,1.6,14,0,2
133,🇲🇼 Malawian Air Force,1.6,11,+1,0
134,🇳🇮 Nicaraguan Army Air Force,1.5,17,0,0
135,🇷🇼 Rwandan Air Force,1.5,21,0,0
136,🇦🇱 Albanian Air Force,1.5,19,0,0
137,🇱🇻 Latvian Air Force,1.5,7,+1,0
138,🇧🇯 Beninese Air Force,1.4,11,+6,0
139,🇲🇪 Montenegrin Air Force,1.4,11,0,0
140,🇹🇯 Tajik Air Force,1.3,26,+1,0
141,🇹🇬 Togolese Air Force,1.3,18,0,5
142,🇲🇻 Coast Guard Aviation Squadron,1.3,4,0,0
143,🇸🇨 Seychelles People's Defence Force Air Wing,1.2,4,+2,0
144,🇲🇩 Moldovan Air Force,1.2,5,+2,0
145,🇲🇰 Air Force of North Macedonia,1.2,20,0,0
146,🇰🇬 Kyrgyz Air Force,1.2,9,+2,0
147,🇵🇬 Papua New Guinea Air Wing,1.1,3,0,0
148,🇧🇮 Burundian Air Force,1.1,13,+1,0
149,🇪🇪 Estonian Air Force,1.0,5,0,0
150,🇧🇸 Royal Bahamas Defence Force Air Wing,1.0,2,0,0
151,🇧🇦 Air Force and Anti-Aircraft Defence of Bosnia and Herzegovina,1.0,15,-7,0
152,🇦🇬 Antigua and Barbuda Air Force,0.9,2,+1,0
153,🇧🇿 Belize Defence Force Air Wing,0.9,3,0,0
154,🇲🇬 Malagasy Air Force,0.9,4,0,0
155,🇬🇳 Guinean Air Force,0.8,7,0,0
156,🇬🇲 Gambian Air Force,0.7,1,+1,1
157,🇱🇺 Luxembourg Army Aviation,0.7,1,0,0
158,🇨🇫 Central African Republic Air Force,0.6,8,+2,0
159,🇸🇿 Military of Eswatini Air Wing,0.4,5,0,0
160,🇸🇷 Surinamese Air Force,0.4,3,0,0
161,🇸🇱 Sierra Leone Defence Force Air Force,0.3,1,0,0
162,🇧🇹 Bhutanese Air Force,0.3,2,0,0
