SLUG,URL,PAGE_FOUND
b52-stratofortress,https://globalmilitary.net/aircraft/b52-stratofortress/,3
b58-hustler,https://globalmilitary.net/aircraft/b58-hustler/,3
gcap-tempest,https://globalmilitary.net/aircraft/gcap-tempest/,3
bae-146,https://globalmilitary.net/aircraft/bae-146/,3
bd-700-global-express,https://globalmilitary.net/aircraft/bd-700-global-express/,3
bn-2b-defender,https://globalmilitary.net/aircraft/bn-2b-defender/,3
bqm-167-skeeter,https://globalmilitary.net/aircraft/bqm-167-skeeter/,3
bqm-74-chukar,https://globalmilitary.net/aircraft/bqm-74-chukar/,3
bzk-005,https://globalmilitary.net/aircraft/bzk-005/,3
bayraktar-akinci,https://globalmilitary.net/aircraft/bayraktar-akinci/,3
bayraktar-kizilelma,https://globalmilitary.net/aircraft/bayraktar-kizilelma/,3
bayraktar-tb2,https://globalmilitary.net/aircraft/bayraktar-tb2/,3
bayraktar-tb3,https://globalmilitary.net/aircraft/bayraktar-tb3/,3
be-12,https://globalmilitary.net/aircraft/be-12/,3
be-200,https://globalmilitary.net/aircraft/be-200/,3
be-6-madge,https://globalmilitary.net/aircraft/be-6-madge/,3
beechcraft-1900,https://globalmilitary.net/aircraft/beechcraft-1900/,3
beechcraft-390,https://globalmilitary.net/aircraft/beechcraft-390/,3
beechcraft-baron,https://globalmilitary.net/aircraft/beechcraft-baron/,3
beechcraft-bonanza,https://globalmilitary.net/aircraft/beechcraft-bonanza/,3
bell-214,https://globalmilitary.net/aircraft/bell-214/,3
bell-412,https://globalmilitary.net/aircraft/bell-412/,3
bell-430,https://globalmilitary.net/aircraft/bell-430/,3
bell-47,https://globalmilitary.net/aircraft/bell-47/,3
bird-eye,https://globalmilitary.net/aircraft/bird-eye/,3
black-hornet,https://globalmilitary.net/aircraft/black-hornet/,3
bober,https://globalmilitary.net/aircraft/bober/,3
boeing-707,https://globalmilitary.net/aircraft/boeing-707/,3
boeing-727,https://globalmilitary.net/aircraft/boeing-727/,3
boeing-737,https://globalmilitary.net/aircraft/boeing-737/,3
boeing-747,https://globalmilitary.net/aircraft/boeing-747/,3
boeing-757,https://globalmilitary.net/aircraft/boeing-757/,3
boeing-767,https://globalmilitary.net/aircraft/boeing-767/,3
buccaneer,https://globalmilitary.net/aircraft/buccaneer/,3
burraq,https://globalmilitary.net/aircraft/burraq/,3
c101-aviojet,https://globalmilitary.net/aircraft/c101-aviojet/,3
c130-hercules,https://globalmilitary.net/aircraft/c130-hercules/,3
c141-starlifter,https://globalmilitary.net/aircraft/c141-starlifter/,3
c160,https://globalmilitary.net/aircraft/c160/,3
c17-globemaster-iii,https://globalmilitary.net/aircraft/c17-globemaster-iii/,3
c2-greyhound,https://globalmilitary.net/aircraft/c2-greyhound/,3
c212,https://globalmilitary.net/aircraft/c212/,3
c-23-sherpa,https://globalmilitary.net/aircraft/c-23-sherpa/,3
c27j-spartan,https://globalmilitary.net/aircraft/c27j-spartan/,3
c295-persuader,https://globalmilitary.net/aircraft/c295-persuader/,3
c32,https://globalmilitary.net/aircraft/c32/,3
c390-millennium,https://globalmilitary.net/aircraft/c390-millennium/,4
c5-galaxy,https://globalmilitary.net/aircraft/c5-galaxy/,4
cf-100-canuck,https://globalmilitary.net/aircraft/cf-100-canuck/,4
cf-105-arrow,https://globalmilitary.net/aircraft/cf-105-arrow/,4
ch-3-rainbow,https://globalmilitary.net/aircraft/ch-3-rainbow/,4
ch-4-rainbow,https://globalmilitary.net/aircraft/ch-4-rainbow/,4
ch-46-sea-knight,https://globalmilitary.net/aircraft/ch-46-sea-knight/,4
ch-47-chinook,https://globalmilitary.net/aircraft/ch-47-chinook/,4
ch-5-rainbow,https://globalmilitary.net/aircraft/ch-5-rainbow/,4
ch-53-sea-stallion,https://globalmilitary.net/aircraft/ch-53-sea-stallion/,4
ch-54-tarhe,https://globalmilitary.net/aircraft/ch-54-tarhe/,4
ch-7-rainbow,https://globalmilitary.net/aircraft/ch-7-rainbow/,4
ch-92-rainbow,https://globalmilitary.net/aircraft/ch-92-rainbow/,4
ch-95-rainbow,https://globalmilitary.net/aircraft/ch-95-rainbow/,4
cl-215,https://globalmilitary.net/aircraft/cl-215/,4
cl-41-tutor,https://globalmilitary.net/aircraft/cl-41-tutor/,4
cl-415,https://globalmilitary.net/aircraft/cl-415/,4
challenger-600,https://globalmilitary.net/aircraft/challenger-600/,4
cm-170-magister,https://globalmilitary.net/aircraft/cm-170-magister/,4
cn-235,https://globalmilitary.net/aircraft/cn-235/,4
ct-4-airtrainer,https://globalmilitary.net/aircraft/ct-4-airtrainer/,4
b250,https://globalmilitary.net/aircraft/b250/,4
cl-289,https://globalmilitary.net/aircraft/cl-289/,4
cessna-340,https://globalmilitary.net/aircraft/cessna-340/,4
cessna-402,https://globalmilitary.net/aircraft/cessna-402/,4
cessna-404,https://globalmilitary.net/aircraft/cessna-404/,4
sr-20,https://globalmilitary.net/aircraft/sr-20/,4
sr-22,https://globalmilitary.net/aircraft/sr-22/,4
commander-500,https://globalmilitary.net/aircraft/commander-500/,4
crecerelle,https://globalmilitary.net/aircraft/crecerelle/,4
da-42,https://globalmilitary.net/aircraft/da-42/,4
dh-110-sea-vixen,https://globalmilitary.net/aircraft/dh-110-sea-vixen/,4
dhc-2-beaver,https://globalmilitary.net/aircraft/dhc-2-beaver/,4
